,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
38,Tecpan,75,GT,1594693649,93,14.76,-90.99,64.4,1.72
39,Grand Gaube,0,MU,1594693375,82,-20.01,57.66,68.0,5.01
40,Alanya,20,TR,1594693650,94,36.54,32.0,71.6,5.82
41,Saint Paul Harbor,90,US,1594693370,76,57.79,-152.41,57.2,10.29
42,Shetpe,92,KZ,1594693605,24,44.17,52.12,85.12,13.53
43,Klaksvík,96,FO,1594693373,100,62.23,-6.59,48.2,5.82
44,Avarua,100,CK,1594693363,56,-21.21,-159.78,71.6,9.17
45,Barrow,90,US,1594693189,76,71.29,-156.79,37.4,11.41
46,Angoche,91,MZ,1594693651,73,-16.23,39.91,69.19,5.1
47,Mar del Plata,0,AR,1594693364,56,-38.0,-57.56,41.0,13.87
48,Roebourne,0,AU,1594693651,26,-20.78,117.13,77.05,13.35
49,Carnarvon,75,AU,1594693384,73,-24.87,113.63,73.4,12.75
50,Lüderitz,0,NA,1594693360,66,-26.65,15.16,55.4,13.87
51,Hauterive,7,FR,1594693652,71,46.09,3.45,57.99,1.12
52,Pisco,90,PE,1594693387,93,-13.7,-76.22,60.01,1.12
53,Nemuro,75,JP,1594693529,82,43.32,145.57,66.2,4.7
54,Yumen,30,CN,1594693554,36,40.28,97.2,74.89,10.16
55,Mahébourg,20,MU,1594693358,88,-20.41,57.7,68.0,5.82
56,Hithadhoo,100,MV,1594693283,72,-0.6,73.08,84.74,9.31
57,Zhangye,29,CN,1594693512,29,38.93,100.45,81.64,1.66
58,Saint-Philippe,60,RE,1594693505,68,-21.36,55.77,66.2,4.7
59,Mehamn,32,NO,1594693358,83,71.04,27.85,45.48,3.29
60,Pangnirtung,100,CA,1594693361,55,66.15,-65.71,53.94,3.15
61,Yar-Sale,43,RU,1594693519,60,66.83,70.83,55.08,18.84
62,Kemijärvi,100,FI,1594693654,95,66.71,27.43,50.99,7.65
63,Ilebo,36,CD,1594693654,94,-4.32,20.58,69.84,1.19
64,Hasaki,75,JP,1594693367,88,35.73,140.83,77.0,6.93
65,Port Alfred,0,ZA,1594693354,47,-33.59,26.89,54.99,29.01
66,Sibolga,100,ID,1594693625,61,1.74,98.78,83.5,1.79
67,Hong Kong,29,HK,1594693388,66,22.29,114.16,91.99,5.99
68,Khuldābād,75,IN,1594693655,100,20.05,75.18,73.4,2.24
69,Beroroha,0,MG,1594693655,68,-21.67,45.17,59.72,0.78
70,Husavik,90,IS,1594693520,93,66.04,-17.34,50.0,2.24
71,Sijunjung,100,ID,1594693656,91,-0.69,100.95,72.19,0.83
72,Cherskiy,100,RU,1594693390,47,68.75,161.3,66.06,4.38
73,Port Elizabeth,40,ZA,1594693497,81,-33.92,25.57,50.0,32.21
74,San Patricio,40,MX,1594693378,79,19.22,-104.7,84.2,5.82
75,Coyhaique,62,CL,1594693380,95,-45.58,-72.07,32.0,3.36
76,Ludvika,36,SE,1594693657,93,60.15,15.19,52.0,2.24
77,Skjervøy,0,NO,1594693566,71,70.03,20.97,53.2,11.27
78,Dikson,100,RU,1594693511,99,73.51,80.55,39.33,13.65
79,Trincomalee,99,LK,1594693657,74,8.57,81.23,82.04,17.67
80,Ostrovnoy,81,RU,1594693362,80,68.05,39.51,46.98,3.36
81,Cidreira,0,BR,1594693369,69,-30.18,-50.21,51.8,15.01
82,Cheremisinovo,90,RU,1594693658,100,51.89,37.26,62.6,6.71
83,Rocha,0,UY,1594693658,72,-34.48,-54.33,38.44,10.89
84,Cabo San Lucas,5,MX,1594693160,69,22.89,-109.91,87.01,6.93
85,Forsytheganj,4,BY,1594693659,93,52.63,29.73,49.15,9.06
86,Ekhabi,100,RU,1594693659,80,53.51,142.97,58.1,7.16
87,Butaritari,98,KI,1594693366,77,3.07,172.79,80.64,7.63
88,Norman Wells,75,CA,1594693360,49,65.28,-126.83,69.8,4.7
89,Pauini,83,BR,1594693529,81,-7.71,-66.98,76.01,2.73
90,Znamenskoye,0,RU,1594693660,68,57.13,73.83,66.72,6.53
91,Lorengau,29,PG,1594693390,68,-2.02,147.27,84.15,5.75
92,Bengkulu,100,ID,1594693362,77,-3.8,102.27,79.75,4.32
93,Tabou,100,CI,1594693439,81,4.42,-7.35,75.56,10.09
94,Santo Antônio do Içá,34,BR,1594693661,95,-3.1,-67.94,73.0,0.54
95,Tateyama,90,JP,1594693613,100,34.98,139.87,75.0,10.29
96,Yuxia,90,CN,1594693661,94,34.06,108.63,75.0,4.47
97,New Norfolk,14,AU,1594693370,87,-42.78,147.06,48.99,1.01
98,Vanavara,13,RU,1594693587,48,60.34,102.28,75.74,4.74
99,George Town,40,MY,1594693228,83,5.41,100.34,84.2,4.7
100,Carballo,31,ES,1594693662,87,43.21,-8.69,60.01,2.24
101,Los Llanos de Aridane,20,ES,1594693662,77,28.66,-17.92,69.8,13.87
102,Ascension,84,US,1594693621,78,30.22,-90.9,81.0,6.96
103,Vila,100,PT,1594693663,59,42.03,-8.16,66.99,9.17
104,Morocelí,99,HN,1594693663,82,14.12,-86.87,70.88,1.74
105,Champerico,100,GT,1594693502,70,14.3,-91.92,82.71,0.76
106,Qaanaaq,1,GL,1594693359,69,77.48,-69.36,43.11,5.19
107,Saldanha,93,ZA,1594693381,81,-33.01,17.94,50.0,11.41
108,Santa Cruz de la Sierra,75,BO,1594693563,94,-17.8,-63.17,73.4,4.7
109,Codrington,1,AU,1594693368,72,-38.27,141.97,54.93,8.3
110,Buchanan,100,LR,1594693664,89,5.88,-10.05,75.15,12.24
111,Ginda,9,IN,1594693358,77,30.69,78.49,69.28,1.63
112,Sitka,90,US,1594693325,87,57.05,-135.33,55.4,9.17
113,Barra de Tecoanapa,1,MX,1594693665,74,16.52,-98.75,82.45,5.1
114,Mnogovershinnyy,10,RU,1594693665,56,53.94,139.92,69.78,1.81
115,Dwārka,73,IN,1594693665,82,22.24,68.97,83.44,11.41
116,Davila,75,PH,1594693666,78,18.47,120.58,82.4,4.7
117,Bredasdorp,100,ZA,1594693497,93,-34.53,20.04,46.4,13.87
118,Khatanga,69,RU,1594693355,42,71.97,102.5,72.1,11.63
119,East London,0,ZA,1594693357,44,-33.02,27.91,57.61,27.4
120,Fortaleza,41,BR,1594693441,83,-3.72,-38.52,79.0,3.36
121,Ürümqi,0,CN,1594693667,29,43.8,87.6,78.8,4.47
122,Lata,0,PT,1594693395,75,40.16,-8.33,72.0,1.86
123,Upernavik,99,GL,1594693394,89,72.79,-56.15,40.24,18.52
124,Arraial do Cabo,5,BR,1594693364,66,-22.97,-42.03,74.05,5.82
125,Swan Hill,0,AU,1594693667,60,-35.34,143.55,58.26,9.19
126,Hilo,90,US,1594693355,58,19.73,-155.09,82.4,6.93
127,Meulaboh,85,ID,1594693369,71,4.14,96.13,81.77,3.62
128,Adzopé,91,CI,1594693668,96,6.11,-3.86,70.16,2.42
129,Marabu,40,MY,1594693531,79,4.41,114.01,84.2,2.24
130,Prainha,1,BR,1594693668,88,-1.8,-53.48,74.55,1.79
131,Todos Santos,10,MX,1594693669,71,23.45,-110.22,82.0,3.0
132,Bilma,17,NE,1594693493,36,18.69,12.92,87.03,12.03
133,Funadhoo,41,MV,1594693669,73,6.15,73.27,83.79,8.12
134,Riyadh,75,SA,1594693396,20,24.69,46.72,93.2,3.36
135,Bambous Virieux,20,MU,1594693359,88,-20.34,57.76,68.0,5.82
136,Tuktoyaktuk,75,CA,1594693368,55,69.45,-133.04,64.4,8.05
137,Bongandanga,100,CD,1594693670,98,1.5,21.05,69.37,0.65
138,Arrondissement de Dieppe,100,FR,1594693670,87,49.75,1.17,57.99,3.36
139,Pevek,17,RU,1594693369,69,69.7,170.31,44.74,4.05
140,Araçuaí,48,BR,1594693670,71,-16.85,-42.07,67.62,2.01
141,Santa Rosa,20,PH,1594693671,74,14.31,121.11,89.01,5.82
142,Vetluga,56,RU,1594693671,96,57.86,45.78,65.53,1.88
143,Gandorhun,100,SL,1594693671,96,7.5,-11.83,73.53,3.78
144,Mbuji-Mayi,84,CD,1594693671,62,-6.15,23.6,74.79,1.52
145,Kaitangata,57,NZ,1594693363,61,-46.28,169.85,52.0,8.01
146,Faya,3,SA,1594693386,40,18.39,42.45,71.6,6.93
147,San Policarpo,1,PH,1594693672,69,12.18,125.51,85.86,9.66
148,Arlit,95,NE,1594693601,27,18.74,7.39,93.65,12.66
149,Acapulco de Juárez,5,MX,1594693374,79,16.86,-99.89,84.2,2.24
150,Mujiayingzi,99,CN,1594693672,46,42.12,118.78,79.32,8.37
151,Šaľa,0,SK,1594693673,82,48.15,17.88,57.0,1.01
152,Chui,0,UY,1594693365,76,-33.7,-53.46,37.6,10.02
153,Wajir,60,KE,1594693368,69,1.75,40.06,75.38,17.31
154,Aasiaat,85,GL,1594693673,90,68.71,-52.87,39.27,14.05
155,Lebu,3,CL,1594693359,76,-37.62,-73.65,47.64,1.88
156,Iqaluit,20,CA,1594693371,50,63.75,-68.51,57.2,10.29
157,Broome,1,US,1594693380,77,42.25,-75.83,66.0,5.82
158,Kokopo,100,PG,1594693674,67,-4.35,152.26,83.44,4.34
159,Valguarnera Caropepe,14,IT,1594693674,90,37.5,14.39,68.0,1.12
160,Trairi,1,BR,1594693583,79,-3.28,-39.27,75.0,7.25
161,Kloulklubed,64,PW,1594693381,69,7.04,134.26,84.22,6.78
162,Russell,1,US,1594693675,83,32.35,-85.2,84.2,3.56
163,Kiryat Gat,0,IL,1594693504,70,31.61,34.76,75.0,1.99
164,Nokaneng,0,BW,1594693590,46,-19.67,22.27,44.19,1.34
165,Naze,75,JP,1594693406,70,28.37,129.48,89.6,12.75
166,Khokhryaki,0,RU,1594693607,72,56.92,53.32,72.0,1.01
167,Leh,0,IN,1594693398,36,34.17,77.58,57.79,5.48
168,Saskylakh,30,RU,1594693530,46,71.92,114.08,70.16,14.83
169,Manono,19,CD,1594693676,43,-7.3,27.42,66.04,2.71
170,Nouadhibou,0,MR,1594693574,94,20.93,-17.03,68.0,19.46
171,Doha,20,QA,1594693676,66,25.29,51.53,93.99,3.36
172,Ust-Tsilma,93,RU,1594693677,64,65.44,52.15,56.91,3.53
173,Aklavik,75,CA,1594693372,37,68.22,-135.01,69.8,6.93
174,Siniscola,0,IT,1594693381,68,40.57,9.69,64.4,1.12
175,Kyra,0,RU,1594693677,62,49.58,111.98,73.89,3.06
176,Beringovskiy,91,RU,1594693384,81,63.05,179.32,53.56,9.93
177,Torbay,79,CA,1594693375,89,47.67,-52.73,66.0,11.45
178,Kasamwa,44,TZ,1594693678,57,-2.85,32.43,62.94,5.26
179,Iquique,0,CL,1594693678,82,-20.22,-70.14,55.4,5.82
180,Portland,20,US,1594693592,29,45.52,-122.68,79.0,11.41
181,Spitsevka,40,RU,1594693679,88,45.12,42.51,66.2,15.66
182,Komsomolets,77,KZ,1594693679,68,53.75,62.07,70.7,6.85
183,Kavaratti,100,IN,1594693388,78,10.57,72.64,83.26,8.1
184,Kamenka,1,RU,1594693385,69,51.32,42.77,69.01,8.93
185,Karaton,20,ID,1594693679,74,-6.34,106.1,84.2,5.82
186,Dingle,79,PH,1594693526,70,11.0,122.67,85.59,3.65
187,Urucará,0,BR,1594693362,85,-2.54,-57.76,74.53,0.74
188,Severo-Kuril'sk,100,RU,1594693366,85,50.68,156.12,50.95,2.3
189,South Venice,1,US,1594693680,79,27.05,-82.42,87.01,10.29
190,Longyearbyen,75,SJ,1594693361,70,78.22,15.64,48.2,4.7
191,Katherine,0,AU,1594693681,11,-14.47,132.27,73.4,14.99
192,Jiménez,5,MX,1594693681,13,28.33,-105.4,96.8,3.36
193,Sayyan,40,YE,1594693681,58,15.17,44.32,64.67,3.38
194,Valdivia,90,CL,1594693528,86,-39.81,-73.25,32.0,2.35
195,Leshukonskoye,100,RU,1594693682,94,64.9,45.76,54.72,2.48
196,Ahipara,74,NZ,1594693395,69,-35.17,173.17,62.53,6.73
197,Bud,1,US,1594693539,53,39.45,-86.18,75.2,5.82
198,Jega,1,NG,1594693682,74,12.22,4.38,79.03,11.65
199,Mitzic,94,GA,1594693682,99,0.78,11.55,67.95,3.96
200,Harar,64,ET,1594693682,89,9.31,42.13,59.43,7.58
201,Bandarbeyla,92,SO,1594693614,67,9.49,50.81,79.16,27.29
202,Cabedelo,13,BR,1594693530,94,-6.98,-34.83,73.4,4.7
203,San Juan,0,AR,1594693683,69,-31.54,-68.54,40.1,0.96
204,Vanimo,59,PG,1594693395,62,-2.67,141.3,85.71,5.97
205,Amposta,41,ES,1594693683,51,40.71,0.58,75.0,1.01
206,Tottenham,0,AU,1594693684,60,-32.23,147.35,57.0,12.91
207,Haines Junction,100,CA,1594693595,39,60.75,-137.51,61.72,7.85
208,Novobirilyussy,98,RU,1594693684,60,56.95,90.67,71.67,1.32
209,Mandera,59,KE,1594693684,63,3.94,41.87,77.38,15.35
210,Sabang,97,ID,1594693684,78,5.89,95.32,81.77,5.66
211,Sioux Lookout,90,CA,1594693558,47,50.1,-91.92,75.2,9.17
212,Ise,75,JP,1594693685,94,34.48,136.7,71.6,4.7
213,Bone,0,DE,1594693685,85,51.97,12.14,54.0,5.21
214,Myanaung,84,MM,1594693685,83,18.28,95.32,79.93,10.45
215,Narsaq,100,GL,1594693358,81,60.92,-46.05,50.0,6.93
216,Paranavaí,10,BR,1594693686,71,-23.07,-52.47,75.0,1.99
217,Ketchikan,90,US,1594693242,77,55.34,-131.65,60.8,11.41
218,Awjilah,0,LY,1594693395,54,29.11,21.29,74.7,7.34
219,Provideniya,90,RU,1594693385,76,64.38,-173.3,50.0,11.18
220,Acaraú,13,BR,1594693686,75,-2.89,-40.12,76.08,11.14
221,Merauke,97,ID,1594693602,79,-8.47,140.33,80.69,11.81
222,Ilulissat,100,GL,1594693373,87,69.22,-51.1,44.6,6.93
223,Kathu,20,TH,1594693538,83,7.92,98.33,84.0,2.24
224,Taitung City,75,TW,1594693687,70,22.76,121.14,87.8,4.7
225,Pochutla,0,MX,1594693687,79,15.74,-96.47,84.0,3.33
226,Cockburn Town,2,TC,1594693361,84,21.46,-71.14,83.19,17.52
227,Anadyr,75,RU,1594693586,87,64.75,177.48,50.0,13.42
228,Burgos,66,ES,1594693688,87,42.34,-3.71,52.0,9.17
229,Sembakung,78,ID,1594693688,88,3.82,117.25,81.97,1.54
230,Pimenta Bueno,2,BR,1594693688,72,-11.67,-61.19,75.09,1.81
231,Belmonte,75,BR,1594693394,88,-15.86,-38.88,71.6,2.24
232,Santa Barbara,1,US,1594693444,72,34.42,-119.7,72.0,4.7
233,Udachny,10,RU,1594693689,38,66.42,112.4,75.2,11.18
234,Moncton,90,CA,1594693689,83,46.12,-64.8,69.8,6.93
235,Dhārchula,100,IN,1594693383,76,29.85,80.53,70.2,0.81
236,Guerrero,89,MX,1594693689,82,17.67,-100.0,70.3,3.11
237,Egvekinot,95,RU,1594693690,73,66.32,-179.17,48.0,5.28
238,Río Gallegos,90,AR,1594693368,86,-51.62,-69.22,33.8,11.41
239,Show Low,1,US,1594693450,21,34.25,-110.03,84.2,6.93
240,Parli,99,IN,1594693690,84,18.85,76.53,77.79,12.37
241,Salalah,90,OM,1594693234,94,17.02,54.09,80.6,9.17
242,Torremolinos,0,ES,1594693691,64,36.62,-4.5,75.0,5.82
243,Guerrero Negro,0,MX,1594693368,63,27.98,-114.06,73.85,18.59
244,Hegang,0,CN,1594693691,59,47.4,130.37,83.01,1.88
245,Wanning,5,CN,1594693590,64,18.8,110.4,88.43,8.3
246,Lokoja,100,NG,1594693547,94,7.8,6.74,72.09,5.03
247,Deming,1,US,1594693446,16,32.27,-107.76,96.8,16.11
248,Alice Springs,0,AU,1594693692,47,-23.7,133.88,55.4,12.75
249,Atyrau,35,KZ,1594693692,26,47.12,51.88,86.92,12.93
250,Leningradskiy,100,RU,1594693368,79,69.38,178.42,41.65,11.74
251,Ponta do Sol,20,PT,1594693357,77,32.67,-17.1,69.8,8.05
252,Moba,100,CN,1594693693,100,33.23,105.02,60.8,0.83
253,Sur,0,OM,1594693693,67,22.57,59.53,84.4,6.15
254,Nome,1,US,1594693101,66,64.5,-165.41,63.0,20.8
255,Avera,40,US,1594693581,94,33.19,-82.53,80.6,2.73
256,Sinnamary,0,GF,1594693694,82,5.38,-52.95,78.22,7.43
257,Soc Trang,100,VN,1594693694,76,9.6,105.98,84.51,9.86
258,Lompoc,12,US,1594693365,77,34.64,-120.46,62.6,11.41
259,Hancheng,100,CN,1594693695,86,32.52,112.35,73.47,6.02
260,Iranshahr,20,IR,1594693695,38,27.2,60.68,91.4,4.7
261,Lufilufi,60,WS,1594693695,80,-13.87,-171.6,81.68,27.16
262,Garoowe,92,SO,1594693695,65,8.41,48.48,74.84,22.93
263,Lagos,20,NG,1594693435,94,6.58,3.75,75.2,4.7
264,Sal Rei,75,CV,1594693696,88,16.18,-22.92,78.8,8.05
265,Venice,1,US,1594693696,79,27.1,-82.45,87.01,10.29
266,College,75,US,1594693402,55,64.86,-147.8,66.2,10.29
267,Taoudenni,27,ML,1594693555,17,22.68,-3.98,97.43,5.86
268,Sheridan,90,US,1594693697,67,44.83,-106.92,64.99,5.82
269,Henties Bay,0,NA,1594693364,92,-22.12,14.28,48.99,1.99
270,Katsuura,90,JP,1594693377,100,35.13,140.3,75.99,10.29
271,Mumbwa,0,ZM,1594693697,73,-14.98,27.06,52.56,3.8
272,Zhigansk,0,RU,1594693390,51,66.77,123.37,70.12,4.09
273,Lake Shasta,0,US,1594693697,13,40.68,-122.37,96.01,3.0
274,Pudem,47,RU,1594693698,91,58.3,52.17,64.81,6.13
275,Lázaro Cárdenas,37,MX,1594693515,77,17.96,-102.2,80.98,2.8
276,Baruun-Urt,67,MN,1594693375,50,46.68,113.28,76.15,2.82
277,Rajaori,0,IN,1594693698,43,33.38,74.3,82.53,2.35
278,Kendari,94,ID,1594693698,86,-3.94,122.5,78.94,2.46
279,Airai,38,TL,1594693371,59,-8.93,125.41,68.04,5.57
280,Bayan,0,CN,1594693370,58,46.08,127.4,81.57,4.72
281,Kirakira,100,SB,1594693699,76,-10.45,161.92,83.08,13.38
282,Geraldton,90,AU,1594693359,77,-28.77,114.6,62.6,11.41
283,Nanortalik,100,GL,1594693378,94,60.14,-45.24,44.13,4.97
284,Teya,0,RU,1594693699,55,60.38,92.63,72.07,6.6
285,Clyde River,1,CA,1594693369,81,70.47,-68.59,46.4,5.82
286,Were Īlu,100,ET,1594693700,91,10.6,39.43,54.41,3.47
287,Reading,100,GB,1594693631,100,51.46,-0.97,61.0,3.36
288,Yabrūd,0,SY,1594693700,82,33.97,36.66,68.0,11.41
289,Bodden Town,34,KY,1594693700,77,19.28,-81.25,84.99,11.99
290,Aksarka,6,RU,1594693561,59,66.56,67.8,55.49,17.18
291,Charters Towers,82,AU,1594693495,31,-20.1,146.27,65.44,13.51
292,Touros,0,BR,1594693544,88,-5.2,-35.46,69.8,3.36
293,Asău,19,RO,1594693355,89,46.43,26.4,48.99,3.83
294,Bethel,20,US,1594693359,64,41.37,-73.41,73.99,3.36
295,Fiditi,92,NG,1594693701,97,7.71,3.92,69.71,5.41
296,Pemangkat,100,ID,1594693702,95,1.17,108.97,74.84,11.99
297,Luchegorsk,22,RU,1594693702,70,46.48,134.26,76.66,4.12
298,Ilhéus,62,BR,1594693401,86,-14.79,-39.05,69.94,0.89
299,Mahibadhoo,11,MV,1594693702,70,3.78,72.97,83.98,6.58
300,George,61,ZA,1594693703,66,-33.96,22.46,48.2,23.04
301,Northam,100,GB,1594693703,100,51.03,-4.22,59.0,1.99
302,Shingū,75,JP,1594693406,100,33.73,135.98,77.0,10.29
303,Bhālki,100,IN,1594693704,88,18.03,77.22,73.26,10.42
304,Kenai,75,US,1594693704,40,60.55,-151.26,69.8,6.93
305,Qaqortoq,100,GL,1594693506,81,60.72,-46.03,50.0,6.93
306,Örnsköldsvik,0,SE,1594693704,93,63.29,18.72,46.4,3.36
307,Thinadhoo,1,MV,1594693549,69,0.53,72.93,84.88,6.93
308,Rio Grande,0,BR,1594693402,75,-32.03,-52.1,42.01,15.52
309,Sovetskiy,92,RU,1594693537,69,61.36,63.58,59.7,6.22
310,Te Anau,14,NZ,1594693396,81,-45.42,167.72,42.84,0.43
311,Nishifukuma,75,JP,1594693705,83,33.77,130.47,75.0,10.29
312,Feijó,100,BR,1594693706,95,-8.16,-70.35,72.36,0.72
313,Ayan,13,RU,1594693511,74,56.45,138.17,59.32,14.97
314,São João da Barra,0,BR,1594693388,81,-21.64,-41.05,72.07,6.35
315,Santo Tomas,20,PH,1594693706,74,14.11,121.14,89.01,5.82
316,Pangai,98,TO,1594693706,61,-19.8,-174.35,77.0,18.34
317,Sisak,57,HR,1594693707,87,45.47,16.38,59.0,3.36
318,Bariloche,40,AR,1594693707,73,-41.15,-71.31,26.6,4.7
319,Isangel,75,VU,1594693374,65,-19.55,169.27,82.4,6.93
320,Virden,0,US,1594693707,74,39.5,-89.77,73.0,1.99
321,Svetlaya,85,RU,1594693707,81,46.54,138.33,62.94,6.89
322,Chara,29,RU,1594693565,52,56.91,118.26,75.38,1.5
323,Trunovskoye,40,RU,1594693708,88,45.49,42.14,66.2,15.66
324,Krasnyy Oktyabr',100,RU,1594693708,95,56.12,38.88,59.52,8.88
325,Harper,100,LR,1594693708,82,4.38,-7.72,75.34,10.27
326,Gondanglegi,30,ID,1594693708,71,-7.75,112.01,82.6,9.42
327,Safi,47,MA,1594693709,90,32.3,-9.24,70.75,12.15
328,Beruwala,100,LK,1594693709,84,6.48,79.98,81.75,8.03
329,Kruisfontein,82,ZA,1594693387,64,-34.0,24.73,48.07,21.56
330,Surab,0,PK,1594693709,42,28.49,66.26,74.37,1.81
331,Palana,100,RU,1594693588,80,59.12,159.97,55.72,5.55
332,Donja Dubica,65,BA,1594693710,78,45.08,18.41,54.0,2.84
333,Aginskoye,0,RU,1594693710,60,51.1,114.53,76.41,3.44
334,Castro,0,BR,1594693362,92,-24.79,-50.01,60.12,5.46
335,Ixtapa,75,MX,1594693710,74,20.7,-105.2,86.0,8.05
336,Nara,75,JP,1594693136,100,34.69,135.8,75.2,2.24
337,Constitución,87,CL,1594693516,75,-35.33,-72.42,52.48,6.31
338,Pasni,70,PK,1594693711,73,25.26,63.47,84.07,5.57
339,Jiaojiang,89,CN,1594693711,91,28.68,121.44,84.99,1.01
340,Prado,3,BR,1594693711,86,-17.34,-39.22,71.31,6.04
341,Jiamusi,0,CN,1594693712,59,46.83,130.35,82.09,2.46
342,Mount Gambier,0,AU,1594693527,76,-37.83,140.77,53.6,12.75
343,Japura,100,ID,1594693710,95,-0.32,102.35,73.18,3.6
344,Alyangula,40,AU,1594693500,53,-13.85,136.42,77.0,12.75
345,Tazovsky,100,RU,1594693392,87,67.47,78.7,45.14,18.48
346,Yangjiang,0,CN,1594693713,69,21.85,111.97,86.85,5.55
347,Poum,83,NC,1594693395,78,-20.23,164.02,73.56,18.16
348,Heihe,0,CN,1594693713,58,50.24,127.49,84.2,4.47
349,Saint Anthony,90,US,1594693406,57,45.02,-93.22,81.0,13.87
350,Port Macquarie,75,AU,1594693615,93,-31.43,152.92,57.0,20.8
351,Prokop'yevsk,54,RU,1594693713,83,53.91,86.72,65.52,8.1
352,Quatre Cocos,20,MU,1594693714,88,-20.21,57.76,68.0,5.82
353,‘Āhuimanu,40,US,1594693389,58,21.44,-157.84,87.8,10.29
354,Alegrete,0,BR,1594693714,83,-29.78,-55.79,43.34,5.03
355,Makakilo City,75,US,1594693394,48,21.35,-158.09,87.8,9.17
356,Plymouth,1,US,1594693524,94,41.83,-70.83,72.0,4.25
357,Adrar,0,MR,1594693382,16,20.5,-10.07,93.67,9.15
358,Vila Franca do Campo,20,PT,1594693505,82,37.72,-25.43,66.2,8.05
359,Cap Malheureux,0,MU,1594693508,83,-19.98,57.61,68.0,4.0
360,Izumo,75,JP,1594693397,78,35.37,132.77,77.0,18.34
361,Kavieng,100,PG,1594693398,73,-2.57,150.8,83.17,8.66
362,San Nicolas,75,PH,1594693716,78,18.17,120.6,82.4,4.7
363,Adré,61,TD,1594693716,53,13.47,22.2,79.11,2.86
364,Caravelas,0,BR,1594693570,89,-17.71,-39.25,70.59,5.14
365,Souillac,20,MU,1594693382,88,-20.52,57.52,68.0,5.82
366,Buraidah,0,SA,1594693355,31,26.33,43.98,91.4,8.05
367,Melendugno,5,IT,1594693717,88,40.27,18.34,68.0,13.87
368,Kahului,40,US,1594693395,45,20.89,-156.47,87.8,25.28
369,Mandalgovi,89,MN,1594693393,33,45.76,106.27,78.66,7.96
370,Sangar,52,RU,1594693402,35,63.92,127.47,78.71,13.73
371,Palmer,40,US,1594693393,88,42.16,-72.33,71.01,1.97
372,Bathsheba,20,BB,1594693378,78,13.22,-59.52,82.4,14.99
373,Bullhead City,1,US,1594693718,8,35.15,-114.57,113.0,16.11
374,Isiro,78,CD,1594693718,98,2.77,27.62,65.34,1.32
